date,country,D,H,I,M,S
2021-04-17,Japan,0,3,2,63,54
2021-04-17,Sweden,0,1,0,4,4
2021-04-18,Afghanistan,0,2,1,14,20
2021-04-18,Japan,0,3,2,63,54
2021-04-18,Sweden,0,1,0,4,4
2021-04-19,Afghanistan,0,1,2,23,11
2021-04-19,Japan,2,3,1,73,43
2021-04-19,Sweden,0,1,0,4,4
2021-04-20,Afghanistan,0,1,1,24,11
2021-04-20,Japan,4,3,0,84,31
2021-04-20,Sweden,0,1,0,5,3
2021-04-21,Afghanistan,0,1,1,25,10
2021-04-21,Japan,10,2,1,94,15
2021-04-21,Sweden,0,1,0,5,3
2021-04-22,Afghanistan,0,1,1,27,8
2021-04-22,Japan,11,1,2,100,8
2021-04-22,Sweden,0,1,0,5,3
2021-04-23,Afghanistan,0,1,0,29,7
2021-04-23,Japan,12,1,2,101,6
2021-04-23,Sweden,0,1,0,5,3
2021-04-24,Afghanistan,0,1,0,29,7
2021-04-24,Japan,12,1,2,102,5
2021-04-24,Sweden,0,1,0,7,1
2021-04-25,Afghanistan,0,1,0,29,7
2021-04-25,Japan,12,1,1,103,5
2021-04-25,Sweden,0,1,0,7,1
2021-04-26,Afghanistan,0,1,0,30,6
2021-04-26,Japan,12,1,0,107,2
2021-04-26,Sweden,0,1,0,7,1
2021-04-27,Afghanistan,0,1,0,30,6
2021-04-27,Japan,12,1,0,107,2
2021-04-27,Sweden,0,1,0,7,1
2021-04-28,Afghanistan,0,0,1,31,5
2021-04-28,Japan,12,1,0,107,2
2021-04-28,Sweden,0,1,0,7,1
2021-04-29,Afghanistan,0,0,1,32,4
2021-04-29,Japan,12,1,0,107,2
2021-04-29,Sweden,0,1,0,8,0
2021-04-30,Afghanistan,0,0,1,33,3
2021-04-30,Japan,12,1,0,107,2
2021-04-30,Sweden,0,1,0,8,0
2021-05-01,Afghanistan,0,0,1,34,2
2021-05-01,Japan,12,1,0,107,2
2021-05-01,Sweden,0,1,0,8,0
2021-05-02,Afghanistan,0,0,0,34,3
2021-05-02,Japan,12,1,0,107,2
2021-05-02,Sweden,0,1,0,8,0
2021-05-03,Afghanistan,0,0,0,34,3
2021-05-03,Japan,12,1,0,108,1
2021-05-03,Sweden,0,1,0,8,0
2021-05-04,Afghanistan,0,0,0,35,2
2021-05-04,Japan,12,1,0,108,1
2021-05-04,Sweden,0,1,0,8,0
2021-05-05,Afghanistan,0,0,0,35,2
2021-05-05,Japan,12,1,0,108,1
2021-05-05,Sweden,0,1,0,8,0
2021-05-06,Afghanistan,0,0,0,35,2
2021-05-06,Japan,12,1,0,108,1
2021-05-06,Sweden,0,1,0,8,0
2021-05-07,Afghanistan,0,0,0,36,1
2021-05-07,Japan,12,1,0,108,1
2021-05-07,Sweden,0,1,0,8,0
2021-05-08,Afghanistan,0,0,0,36,1
2021-05-08,Japan,12,1,0,108,1
2021-05-08,Sweden,0,1,0,8,0
2021-05-09,Afghanistan,0,0,0,36,1
2021-05-09,Japan,12,0,1,109,0
2021-05-09,Sweden,0,1,0,8,0
2021-05-10,Afghanistan,0,0,0,36,1
2021-05-10,Japan,12,0,1,109,0
2021-05-10,Sweden,0,1,0,8,0
2021-05-11,Afghanistan,0,0,0,36,1
2021-05-11,Japan,12,0,1,109,0
2021-05-11,Sweden,0,1,0,8,0
2021-05-12,Afghanistan,0,0,0,36,1
2021-05-12,Japan,12,0,1,109,0
2021-05-12,Sweden,0,1,0,8,0
2021-05-13,Afghanistan,0,0,0,36,1
2021-05-13,Japan,12,0,0,109,1
2021-05-13,Sweden,0,1,0,8,0
2021-05-14,Afghanistan,0,0,0,36,1
2021-05-14,Japan,12,0,0,109,1
2021-05-14,Sweden,0,1,0,8,0
2021-05-15,Afghanistan,0,0,0,36,1
2021-05-15,Japan,12,0,0,109,1
2021-05-15,Sweden,0,1,0,8,0
2021-05-16,Afghanistan,0,0,0,37,0
2021-05-16,Japan,12,0,0,109,1
2021-05-16,Sweden,0,1,0,8,0
2021-05-17,Afghanistan,0,0,0,37,0
2021-05-17,Japan,12,0,0,109,1
2021-05-17,Sweden,0,1,0,8,0
2021-05-18,Afghanistan,0,0,0,37,0
2021-05-18,Japan,12,0,0,109,1
2021-05-18,Sweden,0,1,0,8,0
2021-05-19,Afghanistan,0,0,0,37,0
2021-05-19,Japan,12,0,0,109,1
2021-05-19,Sweden,0,0,1,8,0
2021-05-20,Afghanistan,0,0,0,37,0
2021-05-20,Japan,12,0,0,109,1
2021-05-20,Sweden,0,0,1,8,0
2021-05-21,Afghanistan,0,0,0,37,0
2021-05-21,Japan,12,0,0,109,1
2021-05-21,Sweden,0,0,1,8,0
2021-05-22,Afghanistan,0,0,0,37,0
2021-05-22,Japan,12,0,0,109,1
2021-05-22,Sweden,0,0,1,8,0
2021-05-23,Afghanistan,0,0,0,37,0
2021-05-23,Japan,12,0,0,109,1
2021-05-23,Sweden,0,0,0,8,1
2021-05-24,Afghanistan,0,0,0,37,0
2021-05-24,Japan,12,0,0,109,1
2021-05-24,Sweden,0,0,0,8,1
2021-05-25,Afghanistan,0,0,0,37,0
2021-05-25,Japan,12,0,0,109,1
2021-05-25,Sweden,0,0,0,8,1
2021-05-26,Afghanistan,0,0,0,37,0
2021-05-26,Japan,12,0,0,109,1
2021-05-26,Sweden,0,0,0,8,1
2021-05-27,Afghanistan,0,0,0,37,0
2021-05-27,Japan,12,0,0,110,0
2021-05-27,Sweden,0,0,0,8,1
2021-05-28,Afghanistan,0,0,0,37,0
2021-05-28,Japan,12,0,0,110,0
2021-05-28,Sweden,0,0,0,8,1
2021-05-29,Afghanistan,0,0,0,37,0
2021-05-29,Japan,12,0,0,110,0
2021-05-29,Sweden,0,0,0,8,1
2021-05-30,Afghanistan,0,0,0,37,0
2021-05-30,Japan,12,0,0,110,0
2021-05-30,Sweden,0,0,0,8,1
2021-05-31,Afghanistan,0,0,0,37,0
2021-05-31,Japan,12,0,0,110,0
2021-05-31,Sweden,0,0,0,8,1
2021-06-01,Afghanistan,0,0,0,37,0
2021-06-01,Japan,12,0,0,110,0
2021-06-01,Sweden,0,0,0,8,1
2021-06-02,Afghanistan,0,0,0,37,0
2021-06-02,Japan,12,0,0,110,0
2021-06-02,Sweden,0,0,0,8,1
2021-06-03,Afghanistan,0,0,0,37,0
2021-06-03,Japan,12,0,0,110,0
2021-06-03,Sweden,0,0,0,8,1
2021-06-04,Afghanistan,0,0,0,37,0
2021-06-04,Japan,12,0,0,110,0
2021-06-04,Sweden,0,0,0,8,1
2021-06-05,Afghanistan,0,0,0,37,0
2021-06-05,Japan,12,0,0,110,0
2021-06-05,Sweden,0,0,0,8,1
2021-06-06,Afghanistan,0,0,0,37,0
2021-06-06,Japan,12,0,0,110,0
2021-06-06,Sweden,0,0,0,9,0
2021-06-07,Afghanistan,0,0,0,37,0
2021-06-07,Japan,12,0,0,110,0
2021-06-07,Sweden,0,0,0,9,0
2021-06-08,Afghanistan,0,0,0,37,0
2021-06-08,Japan,12,0,0,110,0
2021-06-08,Sweden,0,0,0,9,0
2021-06-09,Afghanistan,0,0,0,37,0
2021-06-09,Japan,12,0,0,110,0
2021-06-09,Sweden,0,0,0,9,0
2021-06-10,Afghanistan,0,0,0,37,0
2021-06-10,Japan,12,0,0,110,0
2021-06-10,Sweden,0,0,0,9,0
2021-06-11,Afghanistan,0,0,0,37,0
2021-06-11,Japan,12,0,0,110,0
2021-06-11,Sweden,0,0,0,9,0
2021-06-12,Afghanistan,0,0,0,37,0
2021-06-12,Japan,12,0,0,110,0
2021-06-12,Sweden,0,0,0,9,0
2021-06-13,Afghanistan,0,0,0,37,0
2021-06-13,Japan,12,0,0,110,0
2021-06-13,Sweden,0,0,0,9,0
2021-06-14,Afghanistan,0,0,0,37,0
2021-06-14,Japan,12,0,0,110,0
2021-06-14,Sweden,0,0,0,9,0
2021-06-15,Afghanistan,0,0,0,37,0
2021-06-15,Japan,12,0,0,110,0
2021-06-15,Sweden,0,0,0,9,0
2021-06-16,Afghanistan,0,0,0,37,0
2021-06-16,Japan,12,0,0,110,0
2021-06-16,Sweden,0,0,0,9,0
2021-06-17,Afghanistan,0,0,0,37,0
2021-06-17,Japan,12,0,0,110,0
2021-06-17,Sweden,0,0,0,9,0
2021-06-18,Afghanistan,0,0,0,37,0
2021-06-18,Japan,12,0,0,110,0
2021-06-18,Sweden,0,0,0,9,0
2021-06-19,Afghanistan,0,0,0,37,0
2021-06-19,Japan,12,0,0,110,0
2021-06-19,Sweden,0,0,0,9,0
2021-06-20,Afghanistan,0,0,0,37,0
2021-06-20,Japan,12,0,0,110,0
2021-06-20,Sweden,0,0,0,9,0
2021-06-21,Afghanistan,0,0,0,37,0
2021-06-21,Japan,12,0,0,110,0
2021-06-21,Sweden,0,0,0,9,0
2021-06-22,Afghanistan,0,0,0,37,0
2021-06-22,Japan,12,0,0,110,0
2021-06-22,Sweden,0,0,0,9,0
2021-06-23,Afghanistan,0,0,0,37,0
2021-06-23,Japan,12,0,0,110,0
2021-06-23,Sweden,0,0,0,9,0
2021-06-24,Afghanistan,0,0,0,37,0
2021-06-24,Japan,12,0,0,110,0
2021-06-24,Sweden,0,0,0,9,0
2021-06-25,Afghanistan,0,0,0,37,0
2021-06-25,Japan,12,0,0,110,0
2021-06-25,Sweden,0,0,0,9,0
2021-06-26,Afghanistan,0,0,0,37,0
2021-06-26,Japan,12,0,0,110,0
2021-06-26,Sweden,0,0,0,9,0
2021-06-27,Afghanistan,0,0,0,37,0
2021-06-27,Japan,12,0,0,110,0
2021-06-27,Sweden,0,0,0,9,0
2021-06-28,Afghanistan,0,0,0,37,0
2021-06-28,Japan,12,0,0,110,0
2021-06-28,Sweden,0,0,0,9,0
2021-06-29,Afghanistan,0,0,0,37,0
2021-06-29,Japan,12,0,0,110,0
2021-06-29,Sweden,0,0,0,9,0
2021-06-30,Afghanistan,0,0,0,37,0
2021-06-30,Japan,12,0,0,110,0
2021-06-30,Sweden,0,0,0,9,0
2021-07-01,Afghanistan,0,0,0,37,0
2021-07-01,Japan,12,0,0,110,0
2021-07-01,Sweden,0,0,0,9,0
2021-07-02,Afghanistan,0,0,0,37,0
2021-07-02,Japan,12,0,0,110,0
2021-07-02,Sweden,0,0,0,9,0
2021-07-03,Afghanistan,0,0,0,37,0
2021-07-03,Japan,12,0,0,110,0
2021-07-03,Sweden,0,0,0,9,0
2021-07-04,Afghanistan,0,0,0,37,0
2021-07-04,Japan,12,0,0,110,0
2021-07-04,Sweden,0,0,0,9,0
2021-07-05,Afghanistan,0,0,0,37,0
2021-07-05,Japan,12,0,0,110,0
2021-07-05,Sweden,0,0,0,9,0
2021-07-06,Afghanistan,0,0,0,37,0
2021-07-06,Japan,12,0,0,110,0
2021-07-06,Sweden,0,0,0,9,0
2021-07-07,Afghanistan,0,0,0,37,0
2021-07-07,Japan,12,0,0,110,0
2021-07-07,Sweden,0,0,0,9,0
2021-07-08,Afghanistan,0,0,0,37,0
2021-07-08,Japan,12,0,0,110,0
2021-07-08,Sweden,0,0,0,9,0
2021-07-09,Afghanistan,0,0,0,37,0
2021-07-09,Japan,12,0,0,110,0
2021-07-09,Sweden,0,0,0,9,0
2021-07-10,Afghanistan,0,0,0,37,0
2021-07-10,Japan,12,0,0,110,0
2021-07-10,Sweden,0,0,0,9,0
2021-07-11,Afghanistan,0,0,0,37,0
2021-07-11,Japan,12,0,0,110,0
2021-07-11,Sweden,0,0,0,9,0
2021-07-12,Afghanistan,0,0,0,37,0
2021-07-12,Japan,12,0,0,110,0
2021-07-12,Sweden,0,0,0,9,0
2021-07-13,Afghanistan,0,0,0,37,0
2021-07-13,Japan,12,0,0,110,0
2021-07-13,Sweden,0,0,0,9,0
2021-07-14,Afghanistan,0,0,0,37,0
2021-07-14,Japan,12,0,0,110,0
2021-07-14,Sweden,0,0,0,9,0
2021-07-15,Afghanistan,0,0,0,37,0
2021-07-15,Japan,12,0,0,110,0
2021-07-15,Sweden,0,0,0,9,0
2021-07-16,Afghanistan,0,0,0,37,0
2021-07-16,Japan,12,0,0,110,0
2021-07-16,Sweden,0,0,0,9,0
2021-07-17,Afghanistan,0,0,0,37,0
2021-07-17,Japan,12,0,0,110,0
2021-07-17,Sweden,0,0,0,9,0
2021-07-18,Afghanistan,0,0,0,37,0
2021-07-18,Japan,12,0,0,110,0
2021-07-18,Sweden,0,0,0,9,0
2021-07-19,Afghanistan,0,0,0,37,0
2021-07-19,Japan,12,0,0,110,0
2021-07-19,Sweden,0,0,0,9,0
2021-07-20,Afghanistan,0,0,0,37,0
2021-07-20,Japan,12,0,0,110,0
2021-07-20,Sweden,0,0,0,9,0
2021-07-21,Afghanistan,0,0,0,37,0
2021-07-21,Japan,12,0,0,110,0
2021-07-21,Sweden,0,0,0,9,0
2021-07-22,Afghanistan,0,0,0,37,0
2021-07-22,Japan,12,0,0,110,0
2021-07-22,Sweden,0,0,0,9,0
2021-07-23,Afghanistan,0,0,0,37,0
2021-07-23,Japan,12,0,0,110,0
2021-07-23,Sweden,0,0,0,9,0
2021-07-24,Afghanistan,0,0,0,37,0
2021-07-24,Japan,12,0,0,110,0
2021-07-24,Sweden,0,0,0,9,0
2021-07-25,Afghanistan,0,0,0,37,0
2021-07-25,Japan,12,0,0,110,0
2021-07-25,Sweden,0,0,0,9,0
2021-07-26,Afghanistan,0,0,0,37,0
2021-07-26,Japan,12,0,0,110,0
2021-07-26,Sweden,0,0,0,9,0
2021-07-27,Afghanistan,0,0,0,37,0
2021-07-27,Japan,12,0,0,110,0
2021-07-27,Sweden,0,0,0,9,0
2021-07-28,Afghanistan,0,0,0,37,0
2021-07-28,Japan,12,0,0,110,0
2021-07-28,Sweden,0,0,0,9,0
2021-07-29,Afghanistan,0,0,0,37,0
2021-07-29,Japan,12,0,0,110,0
2021-07-29,Sweden,0,0,0,9,0
2021-07-30,Afghanistan,0,0,0,37,0
2021-07-30,Japan,12,0,0,110,0
2021-07-30,Sweden,0,0,0,9,0
2021-07-31,Afghanistan,0,0,0,37,0
2021-07-31,Japan,12,0,0,110,0
2021-07-31,Sweden,0,0,0,9,0
2021-08-01,Afghanistan,0,0,0,37,0
2021-08-01,Japan,12,0,0,110,0
2021-08-01,Sweden,0,0,0,9,0
2021-08-02,Afghanistan,0,0,0,37,0
2021-08-02,Japan,12,0,0,110,0
2021-08-02,Sweden,0,0,0,9,0
2021-08-03,Afghanistan,0,3,0,34,0
2021-08-03,Japan,12,17,0,93,0
2021-08-03,Sweden,0,1,0,8,0
2021-08-04,Afghanistan,0,3,1,33,0
2021-08-04,Japan,12,23,5,82,0
2021-08-04,Sweden,0,3,0,6,0
2021-08-05,Afghanistan,0,5,3,29,0
2021-08-05,Japan,12,25,13,72,0
2021-08-05,Sweden,0,2,1,6,0
2021-08-06,Afghanistan,0,5,4,28,0
2021-08-06,Japan,12,25,21,64,0
2021-08-06,Sweden,0,3,1,5,0
2021-08-07,Afghanistan,0,4,6,27,0
2021-08-07,Japan,12,21,30,59,0
2021-08-07,Sweden,0,1,3,5,0
2021-08-08,Afghanistan,0,4,5,28,0
2021-08-08,Japan,12,19,31,57,3
2021-08-08,Sweden,0,1,3,5,0
2021-08-09,Afghanistan,0,4,4,27,2
2021-08-09,Japan,12,17,28,55,10
2021-08-09,Sweden,0,0,3,6,0
2021-08-10,Afghanistan,0,5,4,25,3
2021-08-10,Japan,12,14,24,57,15
2021-08-10,Sweden,0,0,3,6,0
2021-08-11,Afghanistan,0,4,3,26,4
2021-08-11,Japan,12,11,20,60,19
2021-08-11,Sweden,0,0,1,6,2
2021-08-12,Afghanistan,0,3,4,26,4
2021-08-12,Japan,12,12,14,63,21
2021-08-12,Sweden,0,0,1,6,2
2021-08-13,Afghanistan,0,2,4,27,4
2021-08-13,Japan,12,10,12,64,24
2021-08-13,Sweden,0,0,0,7,2
2021-08-14,Afghanistan,0,2,3,27,5
2021-08-14,Japan,12,8,10,68,24
2021-08-14,Sweden,0,0,0,7,2
2021-08-15,Afghanistan,0,2,2,28,5
2021-08-15,Japan,12,7,6,70,27
2021-08-15,Sweden,0,0,0,7,2
2021-08-16,Afghanistan,0,3,1,27,6
2021-08-16,Japan,12,6,7,70,27
2021-08-16,Sweden,0,0,0,7,2
2021-08-17,Afghanistan,0,12,0,18,7
2021-08-17,Japan,12,14,6,62,28
2021-08-17,Sweden,0,0,0,7,2
2021-08-18,Afghanistan,0,10,3,17,7
2021-08-18,Japan,12,21,8,52,29
2021-08-18,Sweden,0,1,0,6,2
2021-08-19,Afghanistan,0,7,7,16,7
2021-08-19,Japan,12,28,10,43,29
2021-08-19,Sweden,0,1,0,6,2
2021-08-20,Afghanistan,0,7,9,14,7
2021-08-20,Japan,12,23,20,38,29
2021-08-20,Sweden,0,0,1,6,2
2021-08-21,Afghanistan,0,9,9,12,7
2021-08-21,Japan,12,20,22,38,30
2021-08-21,Sweden,0,0,1,6,2
2021-08-22,Afghanistan,0,8,7,14,8
2021-08-22,Japan,12,17,22,40,31
2021-08-22,Sweden,0,2,1,4,2
2021-08-23,Afghanistan,2,8,3,16,8
2021-08-23,Japan,15,15,22,45,25
2021-08-23,Sweden,0,2,1,4,2
2021-08-24,Afghanistan,2,9,1,16,9
2021-08-24,Japan,16,13,17,51,25
2021-08-24,Sweden,0,0,2,5,2
2021-08-25,Afghanistan,2,8,2,17,8
2021-08-25,Japan,16,9,17,57,23
2021-08-25,Sweden,1,0,2,6,0
2021-08-26,Afghanistan,2,8,2,17,8
2021-08-26,Japan,17,8,14,59,24
2021-08-26,Sweden,1,0,2,6,0
2021-08-27,Afghanistan,2,8,3,16,8
2021-08-27,Japan,17,7,12,64,22
2021-08-27,Sweden,1,1,2,5,0
2021-08-28,Afghanistan,2,9,3,16,7
2021-08-28,Japan,17,6,7,67,25
2021-08-28,Sweden,1,1,0,5,2
2021-08-29,Afghanistan,2,10,2,15,8
2021-08-29,Japan,19,5,4,69,25
2021-08-29,Sweden,1,1,0,5,2
2021-08-30,Afghanistan,2,10,1,16,8
2021-08-30,Japan,19,4,4,69,26
2021-08-30,Sweden,1,1,0,5,2
2021-08-31,Afghanistan,2,9,1,17,8
2021-08-31,Japan,19,5,3,70,25
2021-08-31,Sweden,1,1,0,5,2
2021-09-01,Afghanistan,2,8,3,16,8
2021-09-01,Japan,19,4,3,71,25
2021-09-01,Sweden,1,1,0,5,2
2021-09-02,Afghanistan,2,8,3,16,8
2021-09-02,Japan,19,4,2,71,26
2021-09-02,Sweden,1,0,1,5,2
2021-09-03,Afghanistan,2,6,5,16,8
2021-09-03,Japan,19,2,3,71,27
2021-09-03,Sweden,1,0,1,5,2
2021-09-04,Afghanistan,2,7,4,15,9
2021-09-04,Japan,20,2,3,71,26
2021-09-04,Sweden,1,0,1,5,2
2021-09-05,Afghanistan,2,6,3,16,10
2021-09-05,Japan,21,2,2,75,22
2021-09-05,Sweden,1,0,1,5,2
2021-09-06,Afghanistan,2,4,5,18,8
2021-09-06,Japan,22,3,2,74,21
2021-09-06,Sweden,1,0,0,6,2
2021-09-07,Afghanistan,2,4,3,20,8
2021-09-07,Japan,23,2,1,80,16
2021-09-07,Sweden,1,0,0,6,2
2021-09-08,Afghanistan,2,4,3,20,8
2021-09-08,Japan,24,2,1,81,14
2021-09-08,Sweden,1,0,0,6,2
2021-09-09,Afghanistan,2,2,4,20,9
2021-09-09,Japan,24,2,1,84,11
2021-09-09,Sweden,1,0,0,6,2
2021-09-10,Afghanistan,2,2,2,22,9
2021-09-10,Japan,24,2,1,85,10
2021-09-10,Sweden,1,0,0,6,2
2021-09-11,Afghanistan,2,1,3,22,9
2021-09-11,Japan,24,2,0,88,8
2021-09-11,Sweden,1,0,0,8,0
2021-09-12,Afghanistan,3,1,3,22,8
2021-09-12,Japan,24,2,0,91,5
2021-09-12,Sweden,1,0,0,8,0
2021-09-13,Afghanistan,3,2,1,23,8
2021-09-13,Japan,24,2,0,92,4
2021-09-13,Sweden,1,0,0,8,0
2021-09-14,Afghanistan,3,2,1,24,7
2021-09-14,Japan,24,2,0,92,4
2021-09-14,Sweden,1,0,0,8,0
2021-09-15,Afghanistan,3,1,1,25,7
2021-09-15,Japan,24,2,0,93,3
2021-09-15,Sweden,1,0,0,8,0
2021-09-16,Afghanistan,3,1,1,25,7
2021-09-16,Japan,24,2,0,94,2
2021-09-16,Sweden,1,0,0,8,0
2021-09-17,Afghanistan,3,1,1,25,7
2021-09-17,Japan,24,1,1,95,1
2021-09-17,Sweden,1,0,0,8,0
2021-09-18,Afghanistan,3,1,1,26,6
2021-09-18,Japan,24,1,1,95,1
2021-09-18,Sweden,1,0,0,8,0
2021-09-19,Afghanistan,3,0,1,29,4
2021-09-19,Japan,24,1,1,95,1
2021-09-19,Sweden,1,0,0,8,0
2021-09-20,Afghanistan,3,0,1,29,4
2021-09-20,Japan,24,1,1,95,1
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,3,0,1,31,2
2021-09-21,Japan,24,0,1,96,1
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,3,0,1,31,2
2021-09-22,Japan,24,0,1,96,1
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,3,0,0,33,1
2021-09-23,Japan,24,0,1,96,1
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,3,0,0,33,1
2021-09-24,Japan,24,1,1,95,1
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,3,0,0,33,1
2021-09-25,Japan,25,1,0,95,1
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,3,0,0,33,1
2021-09-26,Japan,25,1,0,95,1
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,3,0,0,34,0
2021-09-27,Japan,25,1,0,95,1
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,3,0,0,34,0
2021-09-28,Japan,25,1,0,95,1
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,3,0,0,34,0
2021-09-29,Japan,25,0,1,95,1
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,3,0,0,34,0
2021-09-30,Japan,25,0,1,95,1
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,3,0,0,34,0
2021-10-01,Japan,25,0,1,95,1
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,3,0,0,34,0
2021-10-02,Japan,25,0,1,95,1
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,3,0,0,34,0
2021-10-03,Japan,25,0,0,96,1
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,3,0,0,34,0
2021-10-04,Japan,25,0,0,96,1
2021-10-04,Sweden,1,1,0,7,0
2021-10-05,Afghanistan,3,0,0,34,0
2021-10-05,Japan,25,0,0,96,1
2021-10-05,Sweden,1,1,0,7,0
2021-10-06,Afghanistan,3,0,0,34,0
2021-10-06,Japan,25,0,0,96,1
2021-10-06,Sweden,1,1,0,7,0
2021-10-07,Afghanistan,3,0,0,34,0
2021-10-07,Japan,25,0,0,96,1
2021-10-07,Sweden,1,1,0,7,0
2021-10-08,Afghanistan,3,0,0,34,0
2021-10-08,Japan,25,0,0,96,1
2021-10-08,Sweden,1,1,0,7,0
2021-10-09,Afghanistan,3,0,0,34,0
2021-10-09,Japan,25,0,0,97,0
2021-10-09,Sweden,1,1,0,7,0
2021-10-10,Afghanistan,3,0,0,34,0
2021-10-10,Japan,25,0,0,97,0
2021-10-10,Sweden,1,1,0,7,0
2021-10-11,Afghanistan,3,0,0,34,0
2021-10-11,Japan,25,0,0,97,0
2021-10-11,Sweden,1,0,1,7,0
2021-10-12,Afghanistan,3,0,0,34,0
2021-10-12,Japan,25,0,0,97,0
2021-10-12,Sweden,1,0,1,7,0
2021-10-13,Afghanistan,3,0,0,34,0
2021-10-13,Japan,25,0,0,97,0
2021-10-13,Sweden,1,0,1,7,0
2021-10-14,Afghanistan,3,0,0,34,0
2021-10-14,Japan,25,0,0,97,0
2021-10-14,Sweden,1,0,1,7,0
2021-10-15,Afghanistan,3,0,0,34,0
2021-10-15,Japan,25,0,0,97,0
2021-10-15,Sweden,1,0,0,7,1
2021-10-16,Afghanistan,3,0,0,34,0
2021-10-16,Japan,25,0,0,97,0
2021-10-16,Sweden,1,0,0,7,1
2021-10-17,Afghanistan,3,0,0,34,0
2021-10-17,Japan,25,0,0,97,0
2021-10-17,Sweden,1,0,0,7,1
2021-10-18,Afghanistan,3,0,0,34,0
2021-10-18,Japan,25,0,0,97,0
2021-10-18,Sweden,1,0,0,7,1
2021-10-19,Afghanistan,3,0,0,34,0
2021-10-19,Japan,25,0,0,97,0
2021-10-19,Sweden,1,0,0,7,1
2021-10-20,Afghanistan,3,0,0,34,0
2021-10-20,Japan,25,0,0,97,0
2021-10-20,Sweden,1,0,0,7,1
2021-10-21,Afghanistan,3,0,0,34,0
2021-10-21,Japan,25,0,0,97,0
2021-10-21,Sweden,1,0,0,7,1
2021-10-22,Afghanistan,3,0,0,34,0
2021-10-22,Japan,25,0,0,97,0
2021-10-22,Sweden,1,0,0,7,1
2021-10-23,Afghanistan,3,0,0,34,0
2021-10-23,Japan,25,0,0,97,0
2021-10-23,Sweden,1,0,0,7,1
2021-10-24,Afghanistan,3,0,0,34,0
2021-10-24,Japan,25,0,0,97,0
2021-10-24,Sweden,1,0,0,7,1
2021-10-25,Afghanistan,3,0,0,34,0
2021-10-25,Japan,25,0,0,97,0
2021-10-25,Sweden,1,0,0,7,1
2021-10-26,Afghanistan,3,0,0,34,0
